"# Figure 4: the full classification to a,b,c <= 12. Z never intersects the quark-hosting set"
a,b,c,boxes,parity,in_Z_degenerate,hosts_quark_cell,pairs_at
1,9,3,28,even,True,False,odd m
1,9,4,31,odd,False,True,even m
1,9,5,34,even,True,False,odd m
1,9,6,37,odd,False,True,even m
1,9,7,40,even,True,False,odd m
1,9,8,43,odd,False,True,even m
1,9,9,46,even,True,False,odd m
1,9,10,49,odd,False,True,even m
1,9,11,52,even,True,False,odd m
1,9,12,55,odd,False,True,even m
1,10,0,21,odd,False,True,even m
1,10,1,24,even,False,False,odd m
1,10,2,27,odd,False,True,even m
1,10,3,30,even,False,False,odd m
1,10,4,33,odd,False,True,even m
1,10,5,36,even,False,False,odd m
1,10,6,39,odd,False,True,even m
1,10,7,42,even,False,False,odd m
1,10,8,45,odd,False,True,even m
1,10,9,48,even,False,False,odd m
1,10,10,51,odd,False,True,even m
1,10,11,54,even,False,False,odd m
1,10,12,57,odd,False,True,even m
1,11,0,23,odd,False,True,even m
1,11,1,26,even,True,False,odd m
1,11,2,29,odd,False,True,even m
1,11,3,32,even,True,False,odd m
1,11,4,35,odd,False,True,even m
1,11,5,38,even,True,False,odd m
1,11,6,41,odd,False,True,even m
1,11,7,44,even,True,False,odd m
1,11,8,47,odd,False,True,even m
1,11,9,50,even,True,False,odd m
1,11,10,53,odd,False,True,even m
1,11,11,56,even,True,False,odd m
1,11,12,59,odd,False,True,even m
1,12,0,25,odd,False,True,even m
1,12,1,28,even,False,False,odd m
1,12,2,31,odd,False,True,even m
1,12,3,34,even,False,False,odd m
1,12,4,37,odd,False,True,even m
1,12,5,40,even,False,False,odd m
1,12,6,43,odd,False,True,even m
1,12,7,46,even,False,False,odd m
1,12,8,49,odd,False,True,even m
1,12,9,52,even,False,False,odd m
1,12,10,55,odd,False,True,even m
1,12,11,58,even,False,False,odd m
1,12,12,61,odd,False,True,even m
2,0,0,2,even,False,False,odd m
2,0,1,5,odd,False,False,even m
2,0,2,8,even,False,False,odd m
2,0,3,11,odd,False,False,even m
2,0,4,14,even,False,False,odd m
2,0,5,17,odd,False,False,even m
2,0,6,20,even,False,False,odd m
2,0,7,23,odd,False,False,even m
2,0,8,26,even,False,False,odd m
2,0,9,29,odd,False,False,even m
2,0,10,32,even,False,False,odd m
2,0,11,35,odd,False,False,even m
2,0,12,38,even,False,False,odd m
2,1,0,4,even,False,False,odd m
2,1,1,7,odd,False,True,even m
2,1,2,10,even,True,False,odd m
2,1,3,13,odd,False,True,even m
2,1,4,16,even,False,False,odd m
2,1,5,19,odd,False,True,even m
2,1,6,22,even,False,False,odd m
2,1,7,25,odd,False,True,even m
2,1,8,28,even,False,False,odd m
2,1,9,31,odd,False,True,even m
2,1,10,34,even,False,False,odd m
2,1,11,37,odd,False,True,even m
2,1,12,40,even,False,False,odd m
2,2,0,6,even,False,False,odd m
2,2,1,9,odd,False,True,even m
2,2,2,12,even,False,False,odd m
2,2,3,15,odd,False,True,even m
2,2,4,18,even,False,False,odd m
2,2,5,21,odd,False,True,even m
2,2,6,24,even,False,False,odd m
2,2,7,27,odd,False,True,even m
2,2,8,30,even,False,False,odd m
2,2,9,33,odd,False,True,even m
2,2,10,36,even,False,False,odd m
2,2,11,39,odd,False,True,even m
